"","age","sex","educ","province","n","logodds_estimate_lib","estimate_lib","logodds_estimate_conservative","estimate_conservative","logodds_estimate_ndp","estimate_ndp","logodds_estimate_bloc","estimate_bloc","logodds_estimate_green","estimate_green","logodds_estimate_people","estimate_people","logodds_estimate_other","estimate_other"
"988",36,"Female","Graduate Degree","Newfoundland and Labrador",1,0.135935397319839,0.533931615160289,-1.86561000467133,0.134050499242745,-0.804495957689342,0.309064612272992,-17.6608507940636,2.13791259159551e-08,-2.79435888488788,0.0576297734479551,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"989",36,"Female","Graduate Degree","Nova Scotia",2,0.0242423392174723,0.50606028800921,-1.87613236230669,0.132833750339038,-1.30651402713899,0.213070758166968,-17.6633360664303,2.13260589364885e-08,-1.46629685878171,0.187506125820946,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"990",36,"Female","Graduate Degree","Ontario",8,-0.164989505795261,0.45884593762625,-1.48114304663886,0.185254830928496,-1.12274231196086,0.245502967209772,-17.7286964796693,1.99767547938945e-08,-1.96832586567028,0.122568819041641,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"991",36,"Female","Graduate Degree","Quebec",2,-0.32932514210927,0.418404835533034,-2.27859083333478,0.0929116482689029,-1.60532464548446,0.167238737296173,-1.77265466460487,0.145212506031263,-2.03772470184112,0.115298620415314,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"992",36,"Female","Graduate Degree","Saskatchewan",1,-1.39762845027295,0.198192710277595,-0.647049448653289,0.343654745015789,-0.708512559638104,0.329927593403025,-17.6649672708273,2.12913001331846e-08,-2.44776418627427,0.0796022037335919,-3.98319600623576,0.0182854305400659,-5.2478114917346,0.00523150266034294
"993",36,"Female","Highschool Diploma","Alberta",6,-1.69741367489476,0.154803355957377,0.244654357450363,0.560860321731576,-1.47725381782858,0.185842572262857,-17.4116753038637,2.7428716325363e-08,-2.7193395592689,0.0618417722098712,-3.67416412475834,0.0247428619848634,-5.04977384292215,0.00636994677897498
"994",36,"Female","Highschool Diploma","British Columbia",8,-1.03203224104718,0.26269030159023,-1.11221770328784,0.247457671334546,-0.765362381661702,0.317483168998962,-17.4135782424067,2.73765707959137e-08,-1.49320921099453,0.183440530938071,-3.67416412475834,0.0247428619848634,-5.04977384292215,0.00636994677897498
"995",36,"Female","Highschool Diploma","New Brunswick",3,-0.682400877122249,0.335725662523757,-1.24479789176953,0.223601947527368,-1.63412811136767,0.16326563585176,-17.3935925998141,2.79292132019247e-08,-1.09524994617685,0.250630969006142,-3.67416412475834,0.0247428619848634,-5.04977384292215,0.00636994677897498
"996",36,"Female","Highschool Diploma","Newfoundland and Labrador",2,-0.316857319020164,0.421441833636102,-1.46437439600637,0.187799184336661,-0.734552254703909,0.32419656247916,-17.3922489905572,2.79667643716709e-08,-2.90944887868531,0.0516884429670547,-3.67416412475834,0.0247428619848634,-5.04977384292215,0.00636994677897498
"997",36,"Female","Highschool Diploma","Ontario",9,-0.617782222135264,0.350286018267139,-1.0799074379739,0.2535235335661,-1.05279860897542,0.258688053310378,-17.4600946761628,2.6132274849271e-08,-2.08341585946772,0.110719192150778,-3.67416412475834,0.0247428619848634,-5.04977384292215,0.00636994677897498
