"","age","sex","educ","province","vote_liberal","vote_conservative","vote_ndp","vote_bloc","vote_green","vote_people","vote_other"
"303",71,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"304",59,"Female",NA,"Quebec",1,0,0,0,0,0,0
"305",61,"Male","Graduate Degree","Ontario",0,0,0,0,1,0,0
"306",26,"Male","Graduate Degree","Nova Scotia",1,0,0,0,0,0,0
"307",62,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"308",73,"Male","Undergraduate Degree","Quebec",0,0,0,0,1,0,0
"309",40,"Male","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"310",57,"Female","Graduate Degree","Ontario",1,0,0,0,0,0,0
"311",37,"Female","Undergraduate Degree","Ontario",0,0,0,0,1,0,0
"312",72,"Female","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"313",50,"Female","Highschool Diploma","Quebec",0,0,0,0,1,0,0
"314",53,"Male","Graduate Degree","Quebec",0,1,0,0,0,0,0
"315",60,"Male","Highschool Diploma","Ontario",0,0,0,0,1,0,0
"316",32,"Male","Undergraduate Degree","Manitoba",0,1,0,0,0,0,0
"317",43,"Female","Undergraduate Degree","Quebec",0,0,0,0,0,1,0
"318",77,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"319",50,"Male","Graduate Degree","Ontario",0,1,0,0,0,0,0
"320",49,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"321",73,"Male",NA,"Ontario",0,1,0,0,0,0,0
"322",74,"Female","Graduate Degree","Ontario",0,0,1,0,0,0,0
"323",30,"Male","No Highschool Diploma","Ontario",0,0,1,0,0,0,0
"324",61,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"325",33,"Male","Graduate Degree","Ontario",0,0,0,0,1,0,0
"326",20,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"327",62,"Male","Undergraduate Degree","Quebec",0,0,0,1,0,0,0
"328",63,"Female","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"329",35,"Female","Highschool Diploma","British Columbia",0,0,1,0,0,0,0
"330",25,"Male","Undergraduate Degree","Quebec",1,0,0,0,0,0,0
"331",32,"Male","Highschool Diploma","Quebec",0,0,0,0,1,0,0
"332",35,"Male","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"333",49,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"334",65,"Male","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"335",33,"Male",NA,"Alberta",1,0,0,0,0,0,0
"336",65,"Male","Highschool Diploma","Quebec",0,1,0,0,0,0,0
"337",77,"Male","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"338",76,"Female",NA,"Newfoundland and Labrador",1,0,0,0,0,0,0
"339",69,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"340",48,"Female",NA,"Ontario",1,0,0,0,0,0,0
"341",32,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"342",70,"Male","Undergraduate Degree","Nova Scotia",1,0,0,0,0,0,0
"343",29,"Female","Highschool Diploma","Ontario",0,0,1,0,0,0,0
"344",40,"Male","No Highschool Diploma","Ontario",0,0,0,0,1,0,0
"345",62,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"346",46,"Female","Graduate Degree","Quebec",0,1,0,0,0,0,0
"347",82,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"348",69,"Female",NA,"Newfoundland and Labrador",0,1,0,0,0,0,0
"349",60,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"350",70,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"351",65,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"352",55,"Female","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"353",35,"Male","Graduate Degree","Ontario",0,0,1,0,0,0,0
"354",71,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"355",36,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
"356",72,"Male",NA,"Ontario",1,0,0,0,0,0,0
"357",40,"Male","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"358",49,"Female",NA,"Newfoundland and Labrador",0,1,0,0,0,0,0
"359",40,"Female",NA,"Quebec",1,0,0,0,0,0,0
"360",40,"Female",NA,"Ontario",1,0,0,0,0,0,0
"361",52,"Male","Undergraduate Degree","Quebec",0,1,0,0,0,0,0
"362",65,"Female","Undergraduate Degree","Ontario",1,0,0,0,0,0,0
"363",57,"Female","Undergraduate Degree","Ontario",0,1,0,0,0,0,0
"364",64,"Male","Undergraduate Degree","Quebec",0,0,0,1,0,0,0
"365",73,"Male","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"366",83,"Female","Highschool Diploma","Nova Scotia",1,0,0,0,0,0,0
"367",50,"Female","Highschool Diploma","Quebec",1,0,0,0,0,0,0
"368",36,"Male","Undergraduate Degree","Ontario",0,0,1,0,0,0,0
"369",51,"Female","Highschool Diploma","Ontario",1,0,0,0,0,0,0
"370",67,"Male","No Highschool Diploma","Ontario",1,0,0,0,0,0,0
"371",44,"Male","Highschool Diploma","Quebec",0,0,1,0,0,0,0
"372",33,"Female",NA,"Nova Scotia",0,0,0,0,1,0,0
"373",70,"Male","Highschool Diploma","Ontario",0,1,0,0,0,0,0
